Name in English,Name in Urdu
Minhaaj,منہاج
Mubasher,مبشر
Myron,میرں
Mun'im,منعیم
Madni,مدنی
Mutlaq,مطلق
Munis,مونس
Ma'D,معاد
Musawar,مصور
Mert,میرٹ
Mairaj,معراج
Morteza,مُرتضی
Ma'bood,معبود
Mesut,میسوت
Mohy ud din,محی الدین
Mashood,مشہود
Marzouq,مرزوق
Mohamed,محمد
Mashaal,ماشال
Majd,مجد
Muhaddith,محدث
Mahmoud,محمد
Muaziz,معزز
Muheet,محیط
Malahat,ملاحت
Manzur,منظور
Mufti,مفتی
Mureed,مُرید
Makeen,مکین
Mirat,مرات
Matloob,مطلوب
Muhannad,مُحند
Muahid,موحد
Masrur,مسرور
Mehemet,محیمت
Mabrok,مبروک
Mujtahid,مجتہد
Mizan,میزان
Mujeer,مجیر
Mamnun,ممنون
Mu'in,معین
Mikaa'il,میکائیل
Motasim,معتصم
Muhammad Ali,محمد علی
Muhtaram,محترم
Murid,مُرید
Mufeed,مُفید
Muntazar,منتضر
Mazahir,مظاہر
Mahyar,محیر
Mashkur,مشکور
Meeras,میراث
Maleeq,ملیق
Muzaffer,مظفر
Munawwar,منوّر
Mu'adh,موعادھ
Munzir,مُنزیر
Ma'ruf,معروف
Marghoob,مرغوب
Mojtaba,مجتبی
Mursil,مُرسل
Moonis,مونس
Muqtada,مقتدا
Marsha,مارشا
Mawan,معوان
Mussadiq,مصدق
Maysarah,میسرہ
Mu'allam,معّلم
Musheer,مشیر
Majdi,مجدی
Mutaseem,مُتصم
Maseeh,مسیح
Marid,مرید
Maratab,مراتب
Muwafaq,مُوافق
Malang,ملنگ
Mufeez,مفیض
Mo'arif,معارف
Maqbul,مقبول
Mangal,منگل
Muzammil,مزمل
Mawen,معاون
Ma'n,معان
Marjaan,مرجان
Ma’awiya,معاویہ
Maymun,مایُن
Mueen,معین
Ma'bud,معجود
Miftaah,مفتح
Maruf,معروف
Mubarik,مبارک
Maslehat,مصلحت
Maliq,ملق
Musa-kaim,موسیٰ کیم
Mashad,مسہد
Mohsan,محسان
Masid,ماثد
Maqsud,مقسود
Makin,مکین
Muhammad Ayan,محمد ایان
Muaath,مؤت
Musleh,مُصلح
Masaf,ماصف
Mamdouh,ممدوح
Marzuq,مرزوق
Muath,ماؤث
Maah,ماح
Mohamad,محمد
Makhdum,مخدوم
Mo'eed,موئید
Mian,میاں
Malih,مالیح
Maskin,مسکین
Mu'aawin,معاون
Muhammad Umar,محمد عمر
Maudud,مودود
Maratib,مراتب
Mohkam,محکم
Matee,مطیع
Muayyad,مُوید
Mudabbar,مدبر
Mustanser,مستنصر
Mubariz,مبارز
Moin,معین
Masel,ماثل
Munzer,منذر
Mishkat,مشکات
Murtasm,مرتسم
Muawiyah,معاویہ
Masoud,مسعود
Manet,مانت
Mehrdad,مہرداد
Matlub,مطلوب
Mart,مارٹ
Mufid,مُفید
Mehrak,محرک
Muta,مطہ
Meer Hadi,میر ہادی
Madhat,مدحت
Mutal,متعال
Moaz,معاذ
Mana'm,مناعم
Muneef,منیف
Muballigh,مبلغ
Muhammad-taqqi,محمد تقی
Metin,میٹن
Maftooh,مفتوح
Mubdi,مبدی
Mo'affer,معافر
Maaheer,ماہیر
Mutawakkil,متواکل
Murtajiz,مرتاج
Maudood,مؤدود
Muad,معاد
Muhammad,محمد
Mastan,مستان
Mohd,موحد
Mudassir,مدثر
Mufazzal,مفضل
Maee,ماحی
Modood,مودود
Musad,مُوسود
Muti,مطی
Murtada,مرتضا
Mohib,محب
Muraad,مُراد
Mahdy,محدے
Miqdad,مقداد
Muhammad Hannan,محمد حنان
Maahhi,ماحی
Majnoun,مجنوں
Maadho,مادھو
Muhammad Maaz,محمد معاذ
Maaher,ماہر
Mash'al,مشعل
Manam,مناعم
Mahaser,محاصر
Muhtadi,محتادی
Misbah ud din,مصباح الدین
Mehrzad,محرزد
Maabuat,مابوت
Muhasib,محاسب
Muqaddar,مقدر
Manzir,منظر
Muzeef,مضیف
Mi'raj,معراج
Muntazir,منتظر
Madeeh,مدیح
Maahal,ماحل
Maqdad,مقداد
Mahomet,ماحومت
Madekh,مادخ
Mustafid,مستفید
Minqad,منقاد
Mehroz,مہروز
Munazir,مناظر
Millat,ملت
Ma'ooz,معوذ
Muqbil,مقبل
Mujaddad,مجدد
Mushtaaq,مشتاق
Manouchehr,منوچہر
Mannaan,منان
Moukib,موکب
Muzeeb,مذیب
Museer,مصیر
Miraj,معراج
Maseeb,مثیب
Muaqqar,موقر
Muhammad Waseem,محمد وسیم
Manee,منی
Massoud,مسعود
Malja,ملجا
Mu'awiyah,معاویہ
Masih,مسیح
Misra,میسرہ
Muhammad Shakeel,محمد شکیل
Ma'mun,معمون
Mamdooh,ممدوح
Muhammad Hassan,محمد حسن
Mufassir,مفسر
Mutee,مطعی
Muinuddin,معین الدین
Mu'ayyad,معاد
Muzhar,مزہر
Mohlab,مہلب
Mohy,محی
Mayam,مایام
Mahtaram,محترم
Mutlab,مطلب
Mukees,مکیث
Moosaa-kaaiim,موسٰی قائم
Muhadas,محدث
Moufiq,موفق
Muhibb,مُہب
Ma'sum,معصوم
Mukhlid,مخلد
Muhammad Zayan,محمد زیان
Muslih,مصلِح
Mushaq,مشاق
Maleeh,ملیح
Muqtaza,مقتضا
Ma'roof,معروف
Marghub,مرغوب
Muqeem,مقیم
Maahin,ماہن
Motamid,معتمد
Mas'ud,مسعود
Muji,مجی
Mas'ood,مسعود
Malbob,ملبوب
Muawwiz,معاوز
Muflih,مُفلِھ
Mi'raaj,معراج
Muna'm,منعم
Munhal,منہمل
Muhammad Saad,محمد سعد
Manfa'at,منافعات
Makhtum,مختوم
Mohmer,محمر
Merzoq,مرزوق
Mashooq,معشوق
Muteher,مطہر
Muqaddis,مقدس
Mahzooz,محظوظ
Mundhir,مُندہر
Martaz,مرتاض
Mabruk,مبروک
Mujeez,مجیز
Mugheer,مغیر
Malook,ملوک
Moeed,موئید
Muhammad Faiz,محمد فیض
Mardan,مردان
Mesum Abbas,میثم عباس
Mahzoora,محذورہ
Muhammad-taqqee,محمد تقی
Muntaqim,منتم
Mastor,مسطور
Muttaqee,متقی
Muhammad Azlan,محمد ازلان
Moan,معان
Mamduh,ممدوح
Mnaji,منجی
Muntahee,منتہی
Muteer,مطیر
Muhammad Anas,محمد انس
Musawwir,مسور
Muhammed,محمد
Muhammad Ahad,محمد احد
Mohtsib,محتسب
Mubasser,مبصر
Ma'soom,معصوم
Ma'soom,معصوم
Mahfoz,محفوظ
Muhsham,محشم
Mudawar,مُداور
Masleh,مصلح
Mufzaal,مفضال
Munshab,منشب
Muqtadir,مقتدر
Mesich,میسچ
Majnoon,مجنون
Muhamet,مُوحامت
Mustafi,مستفی
Majdy,مجدے
Meezab,میزاب
Muddaththir,مدّتھتھر
Munam,منعم
Mujaahid,مجاہد
Mu'azzam,معزم
Mikaeel,میکائیل
Mufakker,مفکر
Mazen,مازن
Mohamet,محمت
Majduddin,ماجدالدین
Majnun,مجنوں
Mahshar,محشر
Moutee,معطی
Muhammad Ibrahim,محمد ابراہیم
Mertaj,مرتاج
Masum,معصوم
Mirza,مرزا
Masum,معصوم
Mifzal,مفضال
Maraatib,مراطب
Madam,مدعم
Muhammad Abdullah,محمد عبداللہ
Moqan,موقن
Mustehsan,مستحسن
Majduddeen,مجدُالدین
Muhammad Zain,محمد زین
Muhammad Faizan,محمد فیضان
Muiz,معز
Muteeb,مطیب
Muhammad Hamza,محمد حمزہ
Muayid,مُیاد
Muhit,محیط
Mu'awin,معاون
Musaleh,مُصلح
Mohye,محئی
Ma'shuq,معشوق
Muhammad Mustafa,محمد مصطفیٰ
Muhammad Izhaan,محمد اذہان
Mabrur,مبرور
Munthir,مُنثر
Mumtaaz,ممتاز
Mussmer,مثمر
Mu'een,معین
Mutazz,مُوتاز
Muhammad Shahid,محمد شاہد
Muhammad Adil,محمد عادل
Muadil,معادل
Marfat,معرفت
Muhammad Haris,محمد حارث
Mola,مولا
Mussrib,مثرب
Mutaa,مُوطع
Muhtadee,محتادی
Miraab,میراب
Musaab,مثاب
Mukhtaar,مختار
Musayyab,مسیب
Mutaali,متعالی
Maqsad,مقصد
Muhammad Sameer,محمد ثمیر
Manawar,منور
Mutbasam,متبسم
Mujib,مجیب
Maahid,ماہد
Munjad,منجد
Muhammad Fahad,محمد فہد
Muhammad Zaid,محمد زیاد
Muhammad Hadi,محمد ہادی
Muhtady,مُحتدے
Mulk,ملک
Muhammad Arham,محمد ارحام
Mughith,مغیتھ
Musahsin,مستحسن
Muhtaan,محتان
Mahran,مہران
Muhammad Rehan,محمد ریحان
Muftah,مفتح
Muhammad Salman,محمد سلمان
Meekaaeel,میکائیل
Musharib,مشارب
Muhammad Irfan,محمد عرفان
Muhammad Shayan,محمد شایان
Muhammad Khalid,محمد خالد
Muhammad Yusuf,محمد یوسف
Mugheeth,مغیطہ
Muhammad Azaan,محمد آزان
Muhammad Haider,محمد حیدر
Muhammad Junaid,محمد جنید
Muhammad Aman,محمد امان
Musadiq,مصدق
Muhammad Waqas,محمد وقاص
Muhunnad,مُحند
Muhammad Shahzain,محمد شازین
Maknoon,مکنون
Muhammad Imran,محمد عمران
Mohammad Hussain,محمد حسین
Muhammad Rizwan,محمد رضوان
Maulaa,مولا
Mubaligh,مبلغ
Muhammad Raza,محمد رضا
Ma'shooq,معشوق
Muhammad Ismail,محمد اسماعیل
Muaffiq,موفق
Maooz,معوذ
Muhammad Bilal,محمد بلال
Muhammad Yousuf,محمد یوسف
Mola Baksh,مولا بخش
Mubaarak,مبارک
Muhammad Rohan,محمد روحان
Mustaqeem,مستقیم
Murtadhy,مُرتدیہی
Muhammad Wali,محمد ولی
Muhammad Arish,محمد عریش
Muhammad Shaheer,محمد شہیر
Mehfooz,محفوظ
Muzamil,مزمل
Mesum Ali,میثم علی
Mehrban,مہربان
Muawaz,معاوذ
Muhammad Ahsan,محمد احسن
Muqarrab,مقرب
Muhammad Rayyan,محمد ریان
Muafir,معافر
Musaaleh,مُصالح
Muhammad Zaviyar,محمد زاویار
Muhammad Umair,محمد عمیر
Muhammad Ubaid,محمد عبید
Muqbeel,مقبول
Muhammad Sadiq,محمد صادق
Meer'zaad,میرزاد
Muhammad Yahya,محمد یحییٰ
Muhammad Aslam,محمد اسلم
Muhammad Aabid,محمد عابد
Muhammad Haseeb,محمد حسیب
Muhallul,محلل
Muhammad Danish,محمد دانش
Muqsit,مقسط
Mutabir,معتبر
Maslahat,مصلحت
Mibsam,مبسام
Moula,مولا
Muhammad Junaid,محمد جنید
Muhammad Hamdan,محمد حمدان
Massab,مصعب
Muti Ur Rehman,مطیع الرحمان
Murtadi,مُرطادیع
Mabud,معبود
Muhammad Asad,محمد اسد
Muhammad Hasan,محمد حسن
Mutwassat,متوسط
Muhammad Shahzad,محمد شہزاد
Munib,منیب
Massar,ماثر
Muhammad Yunus,محمد یُونس
Muhammad Usman,محمد عثمان
Muhammad Amir,محمد عامر
Muhammad Sohail,محمد سہیل
Muhammad Rayan,محمد ریعان
Manay,مانع
Muhammad Sahil,محمد ساحل
Muharram,محرم
Muhammad Farooq,محمد فاروق
Muhammad Arshad,محمد ارشد
Muhammad Zubair,محمد زبیر
Muhammad Zeeshan,محمد ذیشان
Momtaz,ممتاز
Muhammad Arif,محمد عارف
Milat,ملت
Muhammad Rafay,محمد رافع
Muhammad Taha,محمد طہٰ
Muhammad Mehdi,محمد مہدی
Manan,منان
Muhammad Faisal,محمد فیصل
Muhammad Azan,محمد اذان
Muhammad Qasim,محمد قاسم
Mazaahir,مظاہر
Mehlab,ملہب
Makhar,ماخر
Muhammad Huzaifa,محمد حذیفہ
Muhammad Tayyab,محمد طیب
Muram,مرام
Moakhir,موخر
Moheeb,مہیب
Mantiq,منطیق
Muhammad Ayaan,محمد آیان
Muhammad Saif,محمد سیف
Muhammad Saqib,محمد ثاقب
Muhtasib,محتسب
Muftee,مفتی
Muhammad Adnan,محمد عدنان
Muhammad Izaan,محمد عزان
Miram,میرام
Muzil,مظل
Munif,منیف
Muhammad Afzal,محمد افضل
Mamoor,معمور
Muhammad Haroon,محمد ہارون
Muhammad Kaif,محمد کیف
Muhammad Rahman,محمد رحمان
Muhammad Farhan,محمد فرحان
Muhammad Ammar,محمد عمار
Mutaqaddim,مطاقدم
Muhammad Omar,محمد عمر
Muhammad Shoaib,محمد شعیب
Muhammad Noman,محمد نعمان
Muhammad Zohaib,محمد ذہیب
Mufteh,مفتح
Moaffer,معافر
Muhammad Arman,محمد ارمان
Muhammad Abaan,محمد ابان
Muhammad Ahmed,محمد احمد
Muqtadi,مقتدی
Maseer,مسیر
Muhammad Hussain,محمد حسین
Muhammad Fazil,محمد فاضل
Mansoob,منصوب
Manfaat,منافعات
Mihraaq,محراک
Muhammad Javed,محمد جاوید
Muhammad Zafar,محمد ظفر
Muhammad Saim,محمد صائم
Maharab,محارب
Muhammad Asif,محمد آصف
Muhammad Noor,محمد نور
Muhammad Dawood,محمد داؤد
Muhammad Ahil,محمد آہل
Muhammad Tahir,محمد طاہر
Muhammad Tahir,محمد طاہر
Muqtad,مقتد
Muhammad Ayaz,محمد ایاز
Muhabet,محبت
Mizab,میزاب
Makhal,مخل
Muhammad Talha,محمد طلحہ
Madeen,مدین
Maair,مائر
Muhammad Fazal,محمد فضل
Muhammad Rahim,محمد راحم
Muhammad Rohaan,محمد روحان
Mustaghni,مستغنی
Muin,معین
Muhammad Kabir,محمد کبیر
Muhammad Anwar,محمد انور
Muhammad Kashif,محمد کاشف
Munas,مونس
Mazaar,مزار
Muhammad Arsalan,محمد ارسلان
Muhammad Shahzaib,محمد شاہ زیب
Muhammad Tabish,محمد تابش
Mouaz,معاذ
Muhammad Shan,محمد شان
Moarif,معارف
Muhammad Ayan,محمد آیان
Mehar Ali,مہر علی
Muzakir,مزاکر
Mashar,مسہر
Muhammad Altaf,محمد الطاف
Mustahil,مستاہل
Muhammad Faris,محمد فارس
Muhammad Moiz,محمد معیز
Mimon,میمون
Muhammad Shahbaz,محمد شہباز
Muhammad Akram,محمد اکرم
Muhammad Abbas,محمد عباس
Mataf,مطاف
Muntasib,منتسب
Mohtasham,محتشم
Muhammad Kamran,محمد کامران
Manshad,منشد
Mahaad,محاد
Mufiz,مفیض
Muhammad Habib,محمد حبیب
Mohsin Ali,محسن علی
Mubashar,مبشر
Muhammad Nadeem,محمد ندیم
Muhammad Akbar,محمد اکبر
Moaffar,معافر
Muhammad Owais,محمد اویس
Memar,معمار
Muhammad Ashar,محمد اشعر
Muhammad Aziz,محمد عزیز
Misaq,میثاق
Mohammad Ali,محمد علی
Mielk,میلک
Muhammad Sultan,محمد سلطان
Muhammad Ilyas,محمد الیاس
Muhammad Hammad,محمد حماد
Mehraan,مہران
Muhammad Tauseef,محمد توصیف
Mand,مند
Murabbi,مربی
Minaam,منعام
Meegham,میغام
Muhammad Waleed,محمد ولید
Muhammad Uzair,محمد عزیر
Muhammad Arslan,محمد ارسلان
Muhammad Jawad,محمد جواد
Mashhood,مشہود
Muhammad Hashir,محمد حاشر
Muhammad Sarim,محمد صارم
Muhammad Zulfiqar,محمد ذوالفقار
Moariff,معارف
Muhammad Taimoor,محمد تیمور
Muhammad Hunain,محمد حُنین
Muhammad Anees,محمد انیس
Moawaz,معوذ
Muhammad Waris,محمد وارث
Muhammad Nihal,محمد نہال
Muhammad Adnan,محمد عدنان
Mohammad Ahmed,محمد احمد
Muqtasid,مقتصد
Muhammad Sharif,محمد شریف
Muhammad Sufian,محمد سفیان
Muhammad Aftab,محمد آفتاب
Muhammad Salim,محمد سلیم
Muhammad Fayaz,محمد فیاض
Muhammad Nabeel,محمد نبیل
Muhammad Abrar,محمد ابرار
Muhammad Akhtar,محمد اختر
Mizrab,مزراب
Muhammad Khizar,محمد خضر
Muhammad Samad,محمد صمد
Muhammad Furqan,محمد فرقان
Mustafa Ali,مصطفیٰ علی
Muhammad Azeem,محمد عظیم
Muhammad Adan,محمد عدن
Musa Ali,موسیٰ علی
Muhammad Riaz,محمد ریاض
Muhammad Faraz,محمد فراز
Mujmal,مجمل
Muhammad Arsal,محمد ارسال
Mustafa Ahmed,مصطفیٰ احمد
Muhammad Wasif,محمد واصف
Meer Ali,میر علی
Maten,متین
Mukaram,مکرم
Muhammad Aamir,محمد عامر
Madinah,مدینہ
Murd,مورد
Muhammad Abid,محمد عابد
Muhammad Umar,محمد عمر
Muhammad Iqbal,محمد اقبال
Muhammad Sayan,محمد صیان
Muhammad Basit,محمد باسط
Muhammad Azam,محمد اعظم
Muhammad Suleman,محمد سلیمان
Muhammad Sajjad,محمد سجاد
Muhammad Mujtaba,محمد مجتبیٰ
Muhammad Zahid,محمد زاہد
Muhammad Luqman,محمد لقمان
Malas,ملاث
Muhammad Aahid,محمد عاہد
Momen,مومن
Muhammad Shaheen,محمد شاہین
Mughal,مغل
Muhammad Mateen,محمد متین
Muhammad Daniyal,محمد دانیال
Muhammad Asim,محمد آثم
Muhammad Inayat,محمد عنایت
Muhammad Numan,محمد نعمان
Muhammad Mudassar,محمد مدثر
Muhammad Zaman,محمد زمان
Muhammad Waqar,محمد وقار
Muhammad Jahangir,محمد جہانگیر
Muhammad Atif,محمد عاطف
Muhammad umer,محمد عمر
Muhammad Nisar,محمد نثار
Muhas,محاص
Mustabin,مستبین
Muhammad Zain,محمد زین
Muhammad Mohsin,محمد محسن
Muhammad Sabir,محمد صابر
Muhammad Raees,محمد رئیس
Muhammad Aqib,محمد عاقب
Muhammad Hafeez,محمد حفیظ
Mughni,مغنی
Muhammad Wahab,محمد وہاب
Maloof,مالوف
Muhammad Saqlain,محمد ثقلین
Muhammad Khalil,محمد خلیل
Muhammad Yazdan,محمد یزدان
Muhammad Afan,محمد عفان
Muhammad Jamal,محمد جمال
Manzer,منذر
Maaz Ali,معاذ علی
Mustaeen,مستعین
Midhet,مدحت
Muhammad Azhar,محمد اظہر
Mishwar,مشوار
Muhammad Adyan,محمد ادیان
Muhammad Hasaan,محمد حسان
Muhammad Mubeen,محمد مبین
Maarib,مارب
Mashraf,مشرف
Muhammad Aaron,محمد ارون
Muhammad Ayub,محمد ایوب
Mahsham,محشم
Muhammad Iftikhar,محمد افتخار
Muhammad Momin,محمد مومن
Muhammad Imtiaz,محمد امتیاز
Muhammad Shadab,محمد شاداب
Mashhoon,مشحون
Mosoof,موصوف
Muhammad Meer,محمد میر
Mahrose,مہروز
Muhammad Rashid,محمد راشد
Muhammad Zaheer,محمد ظہیر
Muhammad Usama,محمد اسامہ
Muhammad Ramzan,محمد رمضان
Manazil,منازل
Muhammad Adeel,محمد عدیل
Muhammad Ijaz,محمد اعجاز
Mouminin,مومنین
Mustahsan,مستحسن
Muhammad Muneeb,محمد منیب
Murtaza Ali,مرتضیٰعلی
Muhammad Azad,محمد آزاد
Miswan,مصوان
Muhammad Zakir,محمد ذاکر
Maimur,میمور
Muhammad Mazhar,محمد مظہر
Muhammad Wahid,محمد واحد
Musna,مثنیٰ
Maarab,ماراب
Mehboob Ali,محبوبعلی
Muhammad Aqeel,محمد عقیل
Muhammad Sajid,محمد ساجد
Mahood,محود
Muhammad Misbah,محمد مصباح
Muhammad Ibadat,محمد عبادت
Muhammad Arshan,محمد ارشن
Muhammad Mushtaq,محمد مشتاق
Muhammad Feroz,محمد فیروز
Maana,مانج
Muhammad Waheed,محمد وحید
Muhammad Jafar,محمد جعفر
Mashrab,مشرب
Mashrab,مشرب
Mor'waared,موروارید
Mushtaq Ahmed,مشتاقاحمد
Munhel,منہل
Muhammad Amaan,محمد امان
Muhammad Areeb,محمد اریب
Muhammad Samir,محمد سمیر
Maziz,مزیز
Muhammad Waseem,محمد وسیم
Muhammad Murtaza,محمد مرتضیٰ
Maaz Ahmed,معاذ احمد
Moiz Ali,معیز علی
Muhammad Sarfaraz,محمد سرفراز
Muhammad Hussain,محمد حسین
Mehroor,محرور
Musvi,مسوی
Muhammad Aafeen,محمد عافین
Maney,مانع
Muhammad Naveed,محمد نوید
Murtaz,مرتاض
Murshed,مرشد
Muhammad Jibran,محمد جبران
Muhammad Rafiq,محمد رافق
Majid Ali,ماجد علی
Muhammad Sibtain,محمد سبطین
Muhammad Zarar,محمد ضرار
Maajid,ماجد
Muhammad Shakir,محمد شاکر
Muhammad Faheem,محمد فہیم
Mesum Mehdi,میثم مہدی
Muhammad Athar,محمد اطہر
Muhammad Ashiq,محمد عاشق
Muhammad Eshan,محمد عشان
Muhammad Sajid,محمد ساجد
Muhammad Osman,محمد عثمان
Muhammad Mubashir,محمد مُبشیر
Muhammad Ejaz,محمد اعجاز
Massad,مصاد
Muhammad Zia,محمد ضیاء
Mudassar Hussain,مدثر حسین
Muhammad Ashir,محمد عاشر
Muhammad Tauheed,محمد توحید
Muther,مطہر
Muhammad Hayyan,محمد حیان
Mikaail,میکائیل
Muhammad Mehboob,محمد محبوب
Maoon,ماعون
Muhammad Afaq,محمد آفاق
Maher Ali,مہر علی
Muhammad Shahrukh,محمد شاہرخ
Mansif,منصف
Muhammad Rashid,محمد راشد
Muhammad Raheel,محمد راحیل
Muhammad Khuzaima,محمد خزیمہ
Muhammad Nazim,محمد ناظم
Muhammad Nafees,محمد نفیس
Muhammad Maaz,محمد معاذ
Muhammad Azhaan,محمد أذهان
Moazzam Ali,معظم علی
Maood,موعود
Makram,مکرم
Muhammad Nazir,محمد ناظر
Mehd,مہد
Muhammad Saeed,محمد سعید
Muhammad Khalifa,محمد خلیفہ
Muhammad Ahtisham,محمد احتشام
Muhammad Burak,محمد برق
Maaz Hussain,معاذ حسین
Mazhar Ali,مظہر علی
Muhammad Naveed,محمد نوید
Mastoor,مستور
Muhareb,محارب
Muhammad Israr,محمد اسرار
Mahabet,مہابت
Matiar,مطیر
Muhammad Yameen,محمد یمین
Mazhar Hussain,مظہر حسین
Muhammad Humayun,محمد ہمایوں
Muhammad Anis,محمد آنیس
Moiz Ahmed,معیز احمد
Muhammad Shahmeer,محمد شہمیر
Mutaf,مطاف
Maahtab,ماہتاب
Muhammad Aslan,محمد اسلان
Muhammad Fahim,محمد فہیم
Muhammad Idris,محمد ادریس
Muneeb Ahmed,منیب احمد
Mustabsher,مستبشر
Muhammad Farhad,محمد فرہاد
Muzn,مزن
Muhammad Imad,محمد عماد
Muhammad Abdul,محمد عبدل
Munazzah,منزہ
Muhtasham,محتشم
Mutim,متیم
Musa Ahmed,موسیٰ احمد
Muhammad Husnain,محمد حسنين
Mujahid Hussain,مجاہد حسین
Mahees,محیث
Mashaam,مشام
Munaaf,مناف
Maseel,ماثیل
Muhammad Shahzad,محمد شہزاد
Meer Hussain,میر حسین
Mehtab Ahmed,مہتاب احمد
Moji Basar,موجی بصر
Meer Ahmed,میر احمد
Mahrur,محرور
Muhammad Shahroz,محمد شہروز
Mubashir Ali,مُبشیرعلی
Maeel,معیل
Mudin,مدین
Mehrang,مہرنگ
Moazim,معظم
Mujir,مجیر
Mashuq,معشوق
Muhammad Rahul,محمد راہول
Mustaneer,مستنیر
Murtasim,مرتسم
Muzammal,مزمل
Mushtaq Ali,مشتاقعلی
Musib,مثیب
Muhammad Rayhan,محمد ریحان
Mustafa Hussain,مصطفیٰ حسین
Maasil,ماثل
Malija,ملجا
Maasir,ماثر
Mujahid Ali,مجاہد علی
Maajal,ماجل
Muhammad Parvaiz,محمد پرویز
Muhammad Mujahid,محمد مجاہد
Muhammad Jameel,محمد جمیل
Mizn,میزان
Mah-e-Kanaan,ماہ کنعان
Muhammad Sheraz,محمد شیراز
Maamoon,مامون
Mustansar,مدد چاہنے والا
Muhammad Arabi,محمد عربی
Masheed,مشید
Maasif,ماصف
Muhammad Raihan,محمد ریحان
Muhammad Saud,محمد سعود
Muhammad Mehran,محمد مھران
Muhammad Walid,محمد والد
Maazan,مازنی
Muhammad Suhail,محمد سہیل
Mudassar Ali,مدثر علی
Marzooq,مرزوق
Mufleh,مفلح
Mohsin Ahmed,محسن احمد
Muhkam,محکم
Muratib,مراتب
Mashed,مسہد
Muhammad Shahryar,محمد شہریار
Muhammad Afraz,محمد افراز
Muhammad Shehryar,محمد شہریار
Muhammad Rameez,محمد رمیض
Mufaaz,مفاذ
Mazun,ماذون
Muhammad Shihab,محمد شیہاب
Muhammad Mujeeb,محمد مجیب
Mehboob Hussain,محبوبحسین
Munsaf,منصف
Mahir Ali,ماہر علی
Mofar,موفر
Muhammad Ghufran,محمد غفران
Muhammad Fawad,محمد فواد
Muhammad Kazim,محمد کاظم
Mualim,معالم
Mastur,مسطور
Muhammad Samar,محمد ثمر
Muhammad Wajahat,محمد وجاہت
